latitude,longitude,acq_date
-9.5034,-40.32608,7/1/20
-8.39186,-35.02663,7/1/20
-3.59229,-38.85873,7/1/20
-8.38767,-35.02587,7/1/20
-5.27195,-37.38766,7/1/20
-3.59157,-38.86296,7/1/20
-5.27142,-37.39075,7/1/20
-23.28903,-45.53959,7/1/20
-19.73311,-46.30209,7/1/20
-19.74009,-46.3033,7/1/20
-20.2399,-40.2406,7/1/20
-18.06287,-39.91668,7/1/20
-18.05966,-39.91698,7/1/20
-8.28176,-46.17095,7/1/20
-8.28687,-46.17156,7/1/20
-8.28454,-46.17204,7/1/20
-10.22773,-48.92972,7/1/20
-8.28493,-46.16912,7/1/20
-13.60293,-47.83803,7/1/20
-13.605,-47.82171,7/1/20
-10.48371,-56.79943,7/1/20
-13.60571,-47.81607,7/1/20
-13.76937,-48.28937,7/1/20
-13.7735,-48.29499,7/1/20
-13.77348,-48.2965,7/1/20
-13.7741,-48.29141,7/1/20
-12.55637,-45.86831,7/1/20
-12.55682,-45.86459,7/1/20
-12.56144,-45.87271,7/1/20
-9.0171,-49.94714,7/1/20
-12.5619,-45.86898,7/1/20
-13.62843,-52.765,7/1/20
-10.6713,-52.0712,7/1/20
-10.67428,-52.07594,7/1/20
-10.6749,-52.07174,7/1/20
-10.67365,-52.08013,7/1/20
-10.67726,-52.08065,7/1/20
-10.67913,-52.06809,7/1/20
-10.67788,-52.07647,7/1/20
-10.67851,-52.07228,7/1/20
-10.68274,-52.06861,7/1/20
-10.68211,-52.07281,7/1/20
-10.68004,-52.07102,7/1/20
-10.67884,-52.0794,7/1/20
-10.68365,-52.07155,7/1/20
-10.70107,-52.07843,7/1/20
-10.70467,-52.079,7/1/20
-10.70827,-52.07956,7/1/20
-11.85364,-55.12386,7/1/20
-11.85419,-55.12034,7/1/20
-11.85474,-55.11682,7/1/20
-11.8575,-55.12087,7/1/20
-11.85695,-55.12439,7/1/20
-11.85805,-55.11735,7/1/20
-11.86136,-55.11789,7/1/20
-11.36989,-57.7107,7/1/20
-11.59049,-56.69953,7/1/20
-11.57453,-57.66015,7/1/20
-11.54944,-52.84607,7/1/20
-11.55295,-52.8466,7/1/20
-11.55645,-52.84715,7/1/20
-11.55703,-52.84319,7/1/20
-11.56054,-52.84373,7/1/20
-11.82793,-54.43643,7/1/20
-11.82903,-54.42926,7/1/20
-11.83127,-54.43697,7/1/20
-11.83182,-54.43338,7/1/20
-11.8335,-54.44467,7/1/20
-11.83406,-54.44109,7/1/20
-11.42167,-55.64748,7/1/20
-11.53638,-55.67325,7/1/20
-11.53914,-55.6773,7/1/20
-11.53858,-55.6808,7/1/20
-11.53969,-55.67379,7/1/20
-10.37653,-53.46993,7/1/20
-10.37709,-53.46624,7/1/20
-10.38048,-53.46677,7/1/20
-9.78727,-63.22367,7/1/20
-10.13089,-44.14173,7/1/20
-9.20702,-62.5071,7/1/20
-9.20662,-62.50859,7/1/20
-9.21139,-62.50943,7/1/20
-6.38033,-43.68502,7/1/20
-6.37973,-43.68924,7/1/20
-6.37896,-43.68855,7/1/20
-6.37953,-43.68432,7/1/20
-6.38543,-43.68492,7/1/20
-10.13146,-44.13725,7/1/20
-7.61867,-46.12821,7/1/20
-7.66581,-46.30068,7/1/20
-14.54392,-45.79621,7/1/20
-12.18391,-56.59675,7/1/20
-6.23833,-44.19748,7/1/20
-7.623,-45.79393,7/1/20
-7.6282,-45.79462,7/1/20
-7.62861,-45.79159,7/1/20
-12.29535,-47.70734,7/1/20
-12.30021,-47.70805,7/1/20
-14.54438,-45.79215,7/1/20
-12.30993,-54.12514,7/1/20
-11.96768,-54.84908,7/1/20
-7.59749,-44.12891,7/1/20
-7.59773,-44.13058,7/1/20
-6.57227,-51.10096,7/1/20
-11.96769,-57.64259,7/1/20
-11.97175,-57.63934,7/1/20
-11.97113,-57.64318,7/1/20
-11.97238,-57.63551,7/1/20
-11.97519,-57.63994,7/1/20
-11.97582,-57.63611,7/1/20
-11.97457,-57.64378,7/1/20
-11.97801,-57.64437,7/1/20
-11.97926,-57.63671,7/1/20
-11.97863,-57.64053,7/1/20
-11.97988,-57.6329,7/1/20
-11.98145,-57.64497,7/1/20
-11.98207,-57.64114,7/1/20
-11.9545,-62.81404,7/1/20
-11.51216,-50.00622,7/1/20
-11.51628,-50.0068,7/1/20
-11.51681,-50.00306,7/1/20
-11.52093,-50.00364,7/1/20
-11.51505,-50.00651,7/1/20
-11.51967,-50.00335,7/1/20
-11.51917,-50.0071,7/1/20
-11.44482,-52.6479,7/1/20
-11.7693,-46.7515,7/1/20
-11.77441,-46.7525,7/1/20
-10.17669,-44.66317,7/1/20
-11.92366,-54.06959,7/1/20
-11.92421,-54.06594,7/1/20
-11.92758,-54.06647,7/1/20
-11.92703,-54.07012,7/1/20
-12.37695,-57.41445,7/1/20
-12.37757,-57.4107,7/1/20
-11.9642,-56.80171,7/1/20
-11.96756,-56.80227,7/1/20
-12.03704,-56.58413,7/1/20
-12.03647,-56.58771,7/1/20
-12.03761,-56.58054,7/1/20
-11.2035,-51.02304,7/1/20
