latitude,longitude,acq_date
8.10262,-72.59459,7/1/20
11.13853,-72.57052,7/1/20
8.08397,-72.59709,7/1/20
7.89244,-72.56968,7/1/20
11.13278,-72.58004,7/1/20
11.08462,-72.6806,7/1/20
7.88946,-72.57478,7/1/20
11.36786,-73.01152,7/1/20
11.13565,-72.57527,7/1/20
7.8917,-72.56522,7/1/20
11.13496,-72.57114,7/1/20
11.00215,-72.70675,7/1/20
10.9957,-72.712,7/1/20
11.0336,-72.66012,7/1/20
11.08107,-72.68123,7/1/20
11.12991,-72.58481,7/1/20
10.97928,-72.72324,7/1/20
7.89691,-72.59662,7/1/20
11.08393,-72.67642,7/1/20
8.04323,-72.42352,7/1/20
8.04616,-72.41803,7/1/20
11.04682,-72.71698,7/1/20
11.04751,-72.72109,7/1/20
8.07732,-72.60289,7/1/20
5.77736,-72.87998,7/1/20
5.54452,-69.57589,7/1/20
4.53559,-68.81452,7/1/20
4.71257,-69.99259,7/1/20
8.53819,-73.42673,7/1/20
6.06861,-69.73956,7/1/20
4.83235,-68.45691,7/1/20
4.83161,-68.46165,7/1/20
5.24867,-69.1552,7/1/20
5.24922,-69.15178,7/1/20
5.24813,-69.15865,7/1/20
4.72399,-68.96908,7/1/20
3.77225,-72.43221,7/1/20
4.75814,-68.82946,7/1/20
4.75422,-68.82884,7/1/20
1.90355,-74.20469,7/1/20
-1.30946,-69.7118,7/1/20
4.72207,-68.39253,7/1/20
5.77301,-68.58292,7/1/20
5.00228,-69.49866,7/1/20
5.00255,-69.49889,7/1/20
4.99847,-69.49825,7/1/20
4.34115,-70.12479,7/1/20
4.3405,-70.12887,7/1/20
11.13518,-72.57367,7/2/20
11.13801,-72.56946,7/2/20
11.12614,-72.58262,7/2/20
11.417,-72.77139,7/2/20
11.08655,-72.67216,7/2/20
5.44612,-73.5899,7/2/20
11.12953,-72.5821,7/2/20
11.13857,-72.57314,7/2/20
4.67881,-68.4728,7/2/20
11.29301,-72.61696,7/2/20
4.67352,-68.47192,7/2/20
5.40865,-73.67654,7/3/20
8.07543,-72.60162,7/3/20
5.44914,-73.59021,7/3/20
7.89378,-72.56744,7/3/20
4.50143,-74.13972,7/3/20
7.98354,-72.47699,7/3/20
7.88991,-72.57403,7/3/20
7.89013,-72.57201,7/3/20
7.96838,-72.46091,7/3/20
7.97002,-72.47215,7/3/20
3.93385,-73.68793,7/3/20
7.90422,-72.67305,7/3/20
7.90414,-72.67084,7/3/20
8.04486,-72.41948,7/3/20
8.04537,-72.423,7/3/20
8.08331,-72.5965,7/3/20
3.22581,-75.27229,7/3/20
3.42794,-75.14822,7/3/20
4.72553,-71.78021,7/3/20
3.225,-75.26959,7/3/20
1.94498,-76.19049,7/3/20
4.4659,-70.01776,7/3/20
1.87796,-77.28909,7/3/20
8.412,-72.75292,7/3/20
7.00514,-73.8709,7/3/20
8.24578,-72.50583,7/3/20
9.33263,-74.32758,7/3/20
8.41318,-72.74974,7/3/20
8.34421,-72.84438,7/3/20
8.2454,-72.50878,7/3/20
8.24633,-72.50801,7/3/20
10.89551,-72.9897,7/3/20
8.20593,-72.50289,7/3/20
11.42306,-72.13039,7/3/20
11.12879,-72.58458,7/4/20
10.7243,-73.41866,7/4/20
11.12823,-72.5799,7/4/20
11.08542,-72.6813,7/4/20
10.98004,-72.72671,7/4/20
11.00289,-72.70964,7/4/20
11.08211,-72.6825,7/4/20
10.31817,-75.48699,7/4/20
8.09681,-72.59254,7/4/20
8.08157,-72.59457,7/4/20
8.1625,-72.88376,7/4/20
11.13379,-72.57155,7/4/20
8.73411,-72.86115,7/4/20
8.85544,-72.76826,7/4/20
8.88816,-73.87434,7/4/20
10.89763,-72.85664,7/4/20
10.65627,-73.35916,7/4/20
10.65113,-73.52429,7/4/20
8.56789,-72.71661,7/4/20
11.2201,-72.83395,7/4/20
11.21766,-72.83178,7/4/20
8.52763,-72.79066,7/4/20
8.83215,-73.31901,7/4/20
10.16418,-73.79819,7/4/20
10.97728,-72.72298,7/4/20
9.64655,-73.73118,7/4/20
9.05009,-74.00776,7/4/20
8.82858,-73.3186,7/4/20
11.04785,-72.71735,7/4/20
10.32605,-73.08223,7/4/20
10.99905,-72.71152,7/5/20
10.99378,-72.71269,7/5/20
3.92886,-73.68777,7/5/20
3.92951,-73.69162,7/5/20
10.11094,-72.95817,7/5/20
7.88811,-72.57388,7/5/20
6.41237,-69.86167,7/5/20
8.08169,-72.59438,7/5/20
9.77776,-74.89204,7/5/20
7.88923,-72.56671,7/5/20
5.99708,-69.46658,7/5/20
7.88867,-72.5703,7/5/20
6.40435,-69.87424,7/5/20
5.99601,-69.47373,7/5/20
6.41571,-69.86217,7/5/20
11.3267,-72.61993,7/6/20
10.98071,-72.72089,7/6/20
8.07519,-72.60394,7/6/20
8.07927,-72.6032,7/6/20
8.08203,-72.59481,7/6/20
11.08547,-72.67334,7/6/20
11.08246,-72.67912,7/6/20
11.03557,-72.66244,7/6/20
8.04354,-72.42166,7/6/20
7.89009,-72.57079,7/6/20
7.89452,-72.59676,7/6/20
7.89072,-72.5745,7/6/20
7.96748,-72.46191,7/6/20
7.10229,-73.55213,7/6/20
11.04488,-72.716,7/6/20
11.1364,-72.5703,7/6/20
10.97319,-72.76197,7/6/20
9.73302,-73.172,7/6/20
10.39537,-73.26354,7/6/20
9.6368,-75.26591,7/6/20
11.28724,-72.30053,7/6/20
9.84563,-73.30386,7/6/20
9.84489,-73.30818,7/6/20
10.10425,-73.85324,7/6/20
10.32144,-75.48968,7/7/20
5.32906,-69.30126,7/7/20
5.32548,-69.29193,7/7/20
7.01036,-73.31321,7/7/20
5.32502,-69.29477,7/7/20
5.38088,-69.81661,7/7/20
5.3286,-69.30412,7/7/20
5.32088,-69.29386,7/7/20
5.32586,-69.29465,7/7/20
7.01293,-73.31382,7/7/20
5.32537,-69.29748,7/7/20
5.3752,-69.81891,7/7/20
5.32986,-69.30112,7/7/20
6.75434,-73.27162,7/7/20
5.37573,-69.81579,7/7/20
4.06304,-70.32621,7/7/20
5.32455,-69.29761,7/7/20
4.16307,-70.30485,7/7/20
5.32937,-69.30396,7/7/20
4.98282,-69.40416,7/7/20
8.50493,-73.43196,7/7/20
9.21531,-74.11038,7/7/20
3.61634,-76.22556,7/7/20
7.66123,-73.73241,7/7/20
7.32772,-73.9328,7/7/20
7.01472,-73.31171,7/7/20
9.52802,-73.94717,7/7/20
7.32694,-73.93011,7/7/20
7.01172,-73.31583,7/7/20
7.13757,-73.92323,7/7/20
7.6617,-73.73195,7/7/20
1.53011,-75.29819,7/7/20
3.6188,-76.22508,7/7/20
4.50593,-71.03979,7/8/20
6.95738,-71.08836,7/8/20
5.6065,-68.00437,7/8/20
6.00804,-69.11125,7/8/20
5.00292,-68.67787,7/8/20
5.01043,-68.67336,7/8/20
4.94428,-69.73171,7/8/20
5.60521,-68.00183,7/8/20
5.00945,-68.67896,7/8/20
4.94484,-69.73254,7/8/20
4.02188,-72.64947,7/8/20
1.4417,-74.12721,7/8/20
1.34913,-75.15373,7/8/20
4.13658,-71.03797,7/8/20
1.20634,-75.84284,7/8/20
3.19061,-72.39125,7/8/20
1.52603,-74.16106,7/8/20
1.09144,-75.94205,7/8/20
1.21186,-74.16058,7/8/20
3.19634,-72.38872,7/8/20
3.43957,-73.11604,7/8/20
4.64193,-70.45645,7/8/20
2.64754,-75.40102,7/8/20
1.85569,-75.92303,7/8/20
2.64811,-75.3971,7/8/20
3.03043,-72.72453,7/8/20
3.02776,-72.72437,7/8/20
1.20283,-74.15924,7/8/20
1.43648,-74.13111,7/8/20
1.18211,-74.1747,7/8/20
3.62564,-72.0593,7/8/20
0.91229,-75.2762,7/8/20
3.71384,-76.37841,7/8/20
4.6426,-70.45187,7/8/20
3.40104,-72.24026,7/8/20
4.3724,-71.17061,7/8/20
1.79755,-74.34306,7/8/20
1.95997,-73.82893,7/8/20
3.30555,-71.97422,7/8/20
3.43835,-73.05347,7/8/20
3.08685,-75.1543,7/8/20
1.43716,-74.12655,7/8/20
1.20108,-74.1599,7/8/20
4.20684,-70.96094,7/8/20
4.13636,-71.03693,7/8/20
3.43914,-73.11894,7/8/20
1.18023,-74.17534,7/8/20
3.37926,-72.20316,7/8/20
3.59396,-72.16312,7/8/20
3.59347,-72.16652,7/8/20
3.69867,-73.09476,7/8/20
4.07839,-70.94496,7/8/20
3.08492,-72.92113,7/8/20
2.1532,-73.88194,7/8/20
1.52448,-74.1626,7/8/20
3.50613,-71.91498,7/8/20
5.55884,-74.80083,7/8/20
4.93808,-70.5329,7/8/20
4.93912,-74.87798,7/8/20
4.83306,-74.89752,7/8/20
4.69707,-74.9654,7/8/20
5.36577,-74.87506,7/8/20
4.93845,-74.88261,7/8/20
4.61343,-74.79847,7/8/20
5.62434,-69.76842,7/8/20
5.61788,-69.76759,7/8/20
5.61643,-69.77829,7/8/20
5.61716,-69.77295,7/8/20
9.24749,-73.86047,7/8/20
5.62361,-69.77377,7/8/20
10.16087,-73.99458,7/8/20
4.89302,-70.67591,7/8/20
4.96228,-68.46864,7/8/20
10.19735,-74.30531,7/8/20
4.6094,-74.82627,7/8/20
6.00087,-70.99728,7/8/20
6.04979,-74.36632,7/8/20
4.61411,-74.79385,7/8/20
4.47648,-73.11586,7/8/20
5.15843,-71.3987,7/8/20
4.47348,-73.11402,7/8/20
10.19454,-74.30432,7/8/20
4.5138,-72.31509,7/8/20
