latitude,longitude,acq_date
-8.48139,118.6581,7/1/20
0.6157,117.64017,7/1/20
-8.46789,118.13977,7/1/20
-7.46749,112.61179,7/1/20
3.63243,116.64649,7/1/20
-8.54497,118.31937,7/1/20
-8.49791,118.26236,7/1/20
-8.51239,118.19261,7/1/20
-8.52136,118.22439,7/1/20
-1.04234,114.81107,7/1/20
3.60093,116.68023,7/1/20
-8.4763,118.64537,7/1/20
-8.46249,118.64295,7/1/20
0.9522,117.02389,7/1/20
-8.42606,117.24216,7/1/20
-0.03746,116.75089,7/1/20
-0.03688,116.75467,7/1/20
-0.04034,116.75519,7/1/20
-0.03976,116.75898,7/1/20
-8.69808,118.05599,7/1/20
-1.15501,114.87405,7/1/20
-8.45542,118.13038,7/1/20
-8.49477,118.55036,7/1/20
-1.14028,114.70337,7/1/20
-7.64435,126.40152,7/1/20
-10.12339,123.74429,7/1/20
-1.1408,114.69993,7/1/20
-0.82383,114.68584,7/1/20
-7.60889,112.68836,7/1/20
-7.64681,126.40125,7/1/20
-1.13698,114.70287,7/1/20
-1.04182,114.8145,7/1/20
-8.45825,118.13455,7/1/20
-8.47854,118.65366,7/1/20
-2.16072,115.58269,7/1/20
-8.73524,117.92776,7/1/20
0.65692,117.46431,7/1/20
-8.62559,117.68868,7/1/20
-8.61667,117.72408,7/1/20
-8.55894,117.48408,7/1/20
-8.36037,117.8645,7/1/20
-8.7208,118.24899,7/1/20
0.67134,117.46226,7/1/20
-8.6658,118.10729,7/1/20
-8.66522,118.11101,7/1/20
-8.64607,118.27831,7/1/20
-8.67512,118.27129,7/1/20
-3.03173,115.16502,7/1/20
-2.52914,114.80849,7/1/20
-8.72712,118.23101,7/1/20
-8.73053,118.23151,7/1/20
-8.4134,123.94993,7/1/20
-8.6749,118.36297,7/1/20
-8.67432,118.36668,7/1/20
-8.672,118.38168,7/1/20
-8.35195,117.87418,7/1/20
-7.3042,111.25291,7/1/20
-6.50804,107.83078,7/1/20
2.89082,117.50465,7/1/20
-4.40994,103.10272,7/1/20
3.40382,117.23862,7/1/20
-7.91144,114.39108,7/1/20
-7.91252,114.38371,7/1/20
2.97911,117.32247,7/1/20
3.36852,117.27909,7/1/20
3.40014,117.23916,7/1/20
-7.90909,114.38322,7/1/20
-10.05154,120.69878,7/1/20
-8.41827,123.9501,7/1/20
-8.41408,123.94791,7/1/20
0.36141,117.5401,7/1/20
0.5602,117.22813,7/1/20
-2.8588,114.17465,7/1/20
-3.15108,113.51213,7/1/20
0.57247,112.09376,7/1/20
0.57388,112.09354,7/1/20
-0.42114,112.30042,7/1/20
0.17968,109.41587,7/1/20
-0.42461,112.30095,7/1/20
-8.49418,118.55418,7/1/20
-10.05714,120.61935,7/1/20
-10.05589,120.62032,7/1/20
-9.75061,120.45667,7/1/20
-9.74934,120.45335,7/1/20
-3.34087,115.20699,7/1/20
-3.46347,114.79905,7/1/20
-1.28006,115.28149,7/1/20
-10.1188,123.74366,7/1/20
-7.64498,126.39793,7/1/20
-9.55276,119.92994,7/1/20
-9.54912,119.92945,7/1/20
-7.14537,111.77295,7/1/20
-7.29512,111.82452,7/1/20
0.80232,116.79772,7/1/20
-4.4052,103.10107,7/1/20
-7.29897,111.82511,7/1/20
-10.12472,123.87167,7/1/20
-6.94525,107.58349,7/1/20
-0.41215,116.56937,7/1/20
-10.07629,123.82424,7/1/20
-0.13887,109.50897,7/1/20
-8.41041,124.10822,7/1/20
2.09199,101.14336,7/1/20
2.08694,101.14288,7/1/20
1.75093,99.23277,7/1/20
1.7574,99.23586,7/1/20
1.75633,99.23573,7/1/20
1.36652,98.97555,7/1/20
1.43783,98.81805,7/1/20
1.75577,99.23197,7/1/20
4.34381,96.31536,7/1/20
4.46218,95.88048,7/1/20
4.53136,95.84362,7/1/20
4.76434,95.76243,7/1/20
4.76264,95.7592,7/1/20
4.5298,96.6126,7/1/20
-0.60916,101.22066,7/1/20
4.13271,96.94525,7/1/20
2.33443,100.29398,7/1/20
2.33122,100.29582,7/1/20
0.97565,99.21609,7/1/20
0.97601,99.21485,7/1/20
1.7515,99.2365,7/1/20
-2.82954,122.16485,7/1/20
-1.86137,115.85337,7/1/20
-1.86271,115.85833,7/1/20
0.09664,117.46667,7/1/20
0.09655,117.46773,7/1/20
-2.57976,121.37408,7/1/20
-1.86163,115.85177,7/1/20
-2.829,122.16725,7/1/20
-1.84199,115.86218,7/1/20
-2.58066,121.37614,7/1/20
-2.5806,121.37907,7/1/20
-2.57581,121.37997,7/1/20
-1.89245,115.86607,7/1/20
-1.89233,115.86777,7/1/20
-3.87122,122.40438,7/1/20
-2.43837,133.14047,7/1/20
-7.78668,125.94668,7/1/20
-8.27557,118.52605,7/1/20
-7.78949,125.94249,7/1/20
-7.78606,125.94294,7/1/20
-8.35965,117.84145,7/1/20
-8.27501,118.52302,7/1/20
-9.40602,119.84452,7/1/20
-9.05404,124.83659,7/1/20
-10.25844,123.53873,7/1/20
-6.47234,111.03635,7/1/20
-6.47277,111.03928,7/1/20
-7.1823,111.69178,7/1/20
0.66212,117.46177,7/1/20
0.66356,117.45547,7/1/20
-6.47176,111.03849,7/1/20
-8.11038,112.92662,7/1/20
-8.11004,112.92824,7/1/20
-7.31918,111.10248,7/1/20
-6.97025,109.95756,7/1/20
-1.95297,105.78812,7/1/20
-2.05937,115.57253,7/1/20
-2.1606,115.58034,7/1/20
-7.24227,109.21742,7/1/20
-7.55758,110.9171,7/1/20
-6.54864,108.09403,7/1/20
-1.89045,115.86072,7/1/20
-2.89744,115.24918,7/1/20
-2.90024,115.2467,7/1/20
-6.97157,109.9556,7/1/20
-7.30059,107.05464,7/1/20
-3.02946,115.16131,7/1/20
-3.09828,115.10577,7/1/20
-2.15417,115.58098,7/1/20
-6.33842,106.28555,7/1/20
-2.88719,103.92209,7/1/20
1.9388,99.49427,7/1/20
1.93935,99.4907,7/1/20
0.6809,117.56384,7/1/20
-1.04832,102.90068,7/1/20
-2.01082,103.70697,7/1/20
-2.00751,103.70748,7/1/20
-8.11828,112.94646,7/1/20
-0.71803,117.06953,7/1/20
-0.71874,117.06906,7/1/20
-2.63935,140.70607,7/2/20
-1.81552,136.75156,7/2/20
-2.86531,140.74902,7/2/20
-8.32319,138.13013,7/2/20
-2.19136,139.36678,7/2/20
-1.04515,134.06885,7/2/20
-8.188,118.03838,7/2/20
-7.78347,125.94115,7/2/20
-7.64441,126.40811,7/2/20
-9.75702,120.02985,7/2/20
-9.73946,120.00871,7/2/20
-9.59367,120.0527,7/2/20
-8.28328,123.66287,7/2/20
-3.90263,122.42175,7/2/20
-9.14351,124.76219,7/2/20
-8.5019,118.51449,7/2/20
-8.45733,118.57027,7/2/20
-8.50137,118.51514,7/2/20
-8.27223,118.52634,7/2/20
-10.02093,120.67421,7/2/20
-1.45918,114.40015,7/2/20
2.1107,117.12737,7/2/20
2.01844,117.23424,7/2/20
-9.87258,120.43711,7/2/20
-9.83134,120.51376,7/2/20
-9.81414,120.5147,7/2/20
-9.80466,120.50962,7/2/20
-9.73968,120.51051,7/2/20
-10.27066,123.53217,7/2/20
-10.26723,123.53166,7/2/20
-10.23034,123.5449,7/2/20
-10.22691,123.54438,7/2/20
-9.93999,123.60666,7/2/20
-3.90323,122.41795,7/2/20
-1.99821,120.86901,7/2/20
-2.00402,120.80858,7/2/20
-1.969,120.94798,7/2/20
-1.93883,120.99731,7/2/20
-1.93884,120.90645,7/2/20
-1.78198,120.57553,7/2/20
-1.63829,120.67189,7/2/20
-2.93273,121.69784,7/2/20
-9.62039,119.82262,7/2/20
-9.7204,119.75526,7/2/20
-9.4167,119.41938,7/2/20
-9.79025,119.85146,7/2/20
3.52746,116.74491,7/2/20
3.57682,116.8859,7/2/20
3.63624,116.92479,7/2/20
3.58554,116.5975,7/2/20
3.63832,116.64584,7/2/20
-9.62752,119.93942,7/2/20
-9.03607,125.07359,7/2/20
-8.25553,124.555,7/2/20
0.74716,122.52284,7/2/20
-9.69044,119.93405,7/2/20
-9.79355,119.94608,7/2/20
-8.48448,118.58096,7/2/20
-0.99403,120.42182,7/2/20
-2.40819,114.81194,7/2/20
-8.56053,120.393,7/2/20
-8.44197,118.65099,7/2/20
-8.38174,118.72166,7/2/20
-8.68078,118.27272,7/2/20
-9.37422,119.91846,7/2/20
-9.37476,119.91482,7/2/20
-9.41117,119.66969,7/2/20
-9.36059,119.89407,7/2/20
-8.56776,117.57361,7/2/20
-8.60982,117.35758,7/2/20
-9.36113,119.89043,7/2/20
-9.35937,119.87898,7/2/20
2.91514,117.37371,7/2/20
2.92707,117.42979,7/2/20
2.96648,117.20116,7/2/20
3.46024,117.23701,7/2/20
3.46359,117.23651,7/2/20
-9.98231,119.99616,7/2/20
-9.89102,119.99753,7/2/20
-9.86382,120.04154,7/2/20
-9.85991,120.04469,7/2/20
-9.83724,119.86933,7/2/20
-8.76602,118.18902,7/2/20
-8.76407,118.19176,7/2/20
-3.07957,115.08437,7/2/20
-9.35991,119.87533,7/2/20
-1.66905,119.97755,7/2/20
-3.87189,122.40128,7/2/20
-1.89348,115.86727,7/2/20
4.26773,117.18709,7/2/20
-9.92886,120.21839,7/2/20
-9.92574,120.09929,7/2/20
-9.79918,120.10646,7/2/20
-7.78753,125.94138,7/2/20
-8.18742,118.04235,7/2/20
-8.19872,118.04023,7/2/20
-9.79582,120.10593,7/2/20
-9.36046,119.87168,7/2/20
-8.27314,123.68133,7/2/20
-8.52691,118.26763,7/2/20
-8.51682,118.23692,7/2/20
-8.51264,118.2406,7/2/20
-8.50906,118.24014,7/2/20
-8.50607,118.23557,7/2/20
-8.46958,118.13361,7/2/20
-8.4666,118.12885,7/2/20
-8.46301,118.12833,7/2/20
-8.39776,118.31133,7/2/20
-8.45553,124.08003,7/2/20
-8.42376,124.09567,7/2/20
-10.03607,123.88656,7/2/20
-10.04041,124.06289,7/2/20
-0.38213,116.14809,7/2/20
-0.38277,116.14394,7/2/20
-0.37852,116.14756,7/2/20
-0.37916,116.14339,7/2/20
-1.56451,116.36995,7/2/20
-0.3749,116.14701,7/2/20
-0.37554,116.14285,7/2/20
-0.5292,115.84856,7/2/20
-1.17039,115.58187,7/2/20
-7.78941,125.94206,7/2/20
-7.78536,125.94175,7/2/20
3.08399,98.61981,7/2/20
1.80183,101.47537,7/2/20
2.87579,98.06392,7/2/20
2.87505,98.05898,7/2/20
1.80098,101.46984,7/2/20
1.80678,101.47466,7/2/20
2.86121,97.91295,7/2/20
1.798,101.47405,7/2/20
1.80294,101.47329,7/2/20
2.98434,98.20424,7/2/20
2.99245,98.20348,7/2/20
3.00143,97.99142,7/2/20
2.44915,98.76797,7/2/20
2.22373,98.65237,7/2/20
4.15556,96.25484,7/2/20
4.15497,96.25424,7/2/20
3.08745,98.03235,7/2/20
3.10582,98.01913,7/2/20
3.8134,96.72522,7/2/20
1.79688,101.4761,7/2/20
3.189,98.26574,7/2/20
3.24797,98.12592,7/2/20
2.71826,98.37331,7/2/20
2.69633,98.36511,7/2/20
2.93461,98.25807,7/2/20
2.93386,98.25895,7/2/20
2.04356,99.379,7/2/20
1.93484,99.49306,7/2/20
1.29988,99.51918,7/2/20
-2.4823,102.95826,7/2/20
1.87894,98.60052,7/2/20
1.95639,98.67424,7/2/20
1.98863,98.6385,7/2/20
0.22163,99.47392,7/2/20
-0.8088,101.63514,7/2/20
-0.54514,101.00871,7/2/20
4.01725,97.14049,7/2/20
0.29877,99.24055,7/2/20
2.50794,100.05477,7/2/20
2.03219,99.84972,7/2/20
0.2935,99.23371,7/2/20
4.81252,95.4817,7/2/20
4.5947,95.89115,7/2/20
2.48596,98.1452,7/2/20
2.48349,98.14411,7/2/20
0.69788,100.1562,7/2/20
-0.06463,100.40951,7/2/20
2.02333,98.5361,7/2/20
2.02283,98.53275,7/2/20
2.07203,99.07636,7/2/20
-0.54578,101.01041,7/2/20
0.30348,99.24366,7/2/20
2.09549,99.28736,7/2/20
-0.91195,102.25235,7/2/20
2.03288,99.85431,7/2/20
3.12461,97.47939,7/2/20
1.52962,100.97733,7/2/20
-3.74062,103.76546,7/2/20
-1.45846,127.43671,7/2/20
-2.03088,133.85597,7/2/20
1.49653,127.63031,7/2/20
1.4978,127.62922,7/2/20
-0.99731,134.0249,7/2/20
-1.45397,127.43732,7/2/20
1.70268,127.87964,7/2/20
-1.14524,136.03622,7/2/20
-1.81658,136.75035,7/2/20
-2.43782,133.13983,7/2/20
-8.19415,119.0543,7/2/20
-8.19434,119.05328,7/2/20
-7.64857,126.40643,7/2/20
-3.43472,104.21475,7/2/20
-2.9279,104.09867,7/2/20
1.37262,101.22424,7/2/20
-6.00327,105.98103,7/2/20
-7.4133,112.49303,7/2/20
-7.23946,109.21471,7/2/20
0.68205,101.11954,7/2/20
-3.00679,104.83272,7/2/20
0.44132,101.89253,7/2/20
-1.06356,103.24223,7/2/20
-2.53558,103.38312,7/2/20
-0.85062,102.93342,7/2/20
0.10758,103.17045,7/2/20
-7.4284,112.42446,7/2/20
-3.0306,115.16347,7/2/20
-7.70314,108.99756,7/2/20
-1.20192,103.38065,7/2/20
-1.77485,103.10895,7/2/20
-1.18786,103.37154,7/2/20
1.39615,100.63177,7/2/20
-7.41737,112.49243,7/2/20
-6.03086,105.95802,7/2/20
-6.00946,105.9763,7/2/20
-6.00666,105.98048,7/2/20
-1.16615,103.34081,7/2/20
-3.31505,104.12312,7/2/20
0.47833,100.74979,7/2/20
-8.18933,140.00874,7/3/20
-4.18512,140.30455,7/3/20
-3.66615,138.35143,7/3/20
-2.59099,140.31326,7/3/20
-8.24694,140.09807,7/3/20
-8.25303,140.09882,7/3/20
-2.65081,140.36641,7/3/20
-8.43127,123.94057,7/3/20
-8.51759,118.54681,7/3/20
-9.5071,119.76957,7/3/20
-9.87955,120.16095,7/3/20
-9.83578,123.79397,7/3/20
0.88179,116.9225,7/3/20
-9.37818,119.30871,7/3/20
-9.37962,119.3064,7/3/20
-9.41929,119.42468,7/3/20
-9.57659,119.75276,7/3/20
-1.92852,120.68022,7/3/20
0.80794,116.81274,7/3/20
0.80869,116.81745,7/3/20
0.80841,116.81123,7/3/20
0.80913,116.81597,7/3/20
0.80985,116.8207,7/3/20
-8.24042,123.26352,7/3/20
-9.34533,119.93858,7/3/20
0.80523,116.82138,7/3/20
-9.43741,119.59344,7/3/20
-9.48771,120.07061,7/3/20
-9.43586,119.59274,7/3/20
-9.47385,119.71616,7/3/20
-8.47456,118.13241,7/3/20
-8.51618,118.54806,7/3/20
-8.49575,124.09876,7/3/20
-8.3945,124.12082,7/3/20
-8.46139,118.11945,7/3/20
-8.47143,118.13058,7/3/20
-8.46321,118.11832,7/3/20
-9.7906,120.4958,7/3/20
-9.79008,120.49966,7/3/20
-9.78956,120.50351,7/3/20
-9.47703,119.75941,7/3/20
-9.79954,120.49326,7/3/20
-9.79901,120.49716,7/3/20
-9.4894,120.0737,7/3/20
-9.63661,119.97372,7/3/20
-9.96457,120.03463,7/3/20
-9.50767,119.76543,7/3/20
-10.17912,123.86311,7/3/20
0.33488,116.37036,7/3/20
-8.17999,127.90894,7/3/20
-9.45517,119.05157,7/3/20
3.46928,116.68246,7/3/20
-9.68462,119.18797,7/3/20
-7.6526,126.40469,7/3/20
-7.65207,126.40818,7/3/20
-7.65539,126.40865,7/3/20
-8.42786,123.9399,7/3/20
0.84978,116.74767,7/3/20
-9.79168,120.48779,7/3/20
-6.78892,111.10878,7/3/20
-7.29283,111.87804,7/3/20
-2.21911,101.63864,7/3/20
-2.49272,103.06597,7/3/20
-2.50402,103.31659,7/3/20
-2.65503,103.29162,7/3/20
-2.65428,103.29436,7/3/20
1.10096,109.68972,7/3/20
2.22231,98.73121,7/3/20
2.18017,98.40723,7/3/20
2.19772,98.41164,7/3/20
1.56546,99.05491,7/3/20
5.1464,95.73331,7/3/20
5.14979,95.7328,7/3/20
5.18779,95.66315,7/3/20
5.19174,95.66621,7/3/20
5.19118,95.66257,7/3/20
5.03225,96.22455,7/3/20
5.03172,96.22115,7/3/20
-3.20234,103.78214,7/3/20
-3.26521,104.17042,7/3/20
-3.41289,103.95091,7/3/20
-3.41359,103.94858,7/3/20
-1.34832,104.40903,7/3/20
2.8953,97.99708,7/3/20
2.9724,98.07944,7/3/20
3.13873,98.1483,7/3/20
3.14203,98.1478,7/3/20
1.95615,98.65457,7/3/20
1.961,98.66433,7/3/20
2.01477,98.63804,7/3/20
2.03183,98.63896,7/3/20
-2.21064,102.21181,7/3/20
-2.32957,102.04961,7/3/20
-2.26365,102.59374,7/3/20
2.04294,98.55609,7/3/20
0.25631,99.35101,7/3/20
1.69669,99.43063,7/3/20
5.43053,95.82998,7/3/20
1.09367,99.12157,7/3/20
1.45911,98.84472,7/3/20
1.46015,98.85162,7/3/20
2.57271,97.84038,7/3/20
2.56947,98.08674,7/3/20
2.19429,98.12086,7/3/20
1.03296,100.22898,7/3/20
0.28962,100.45385,7/3/20
-0.06822,103.0547,7/3/20
-3.12127,102.80472,7/3/20
-3.24301,103.34394,7/3/20
-1.07155,101.2434,7/3/20
-0.72428,101.33855,7/3/20
-1.2709,102.43382,7/3/20
-1.13949,102.8511,7/3/20
-1.15184,102.74609,7/3/20
-1.13195,102.84995,7/3/20
-1.11181,101.95533,7/3/20
-0.85208,102.93549,7/3/20
-0.93812,102.21594,7/3/20
-0.92825,102.15834,7/3/20
-0.85969,102.33592,7/3/20
-2.2233,101.61119,7/3/20
-2.2198,101.61072,7/3/20
-2.1627,101.61004,7/3/20
-4.63486,104.479,7/3/20
-4.6331,104.48114,7/3/20
-4.63708,104.48174,7/3/20
-1.45851,127.43193,7/3/20
-2.43856,133.14163,7/3/20
-1.45944,127.43771,7/3/20
-1.14655,136.03607,7/3/20
-2.88764,103.92129,7/3/20
-7.69893,111.43371,7/3/20
-1.95009,105.78987,7/3/20
-7.70356,108.99618,7/3/20
0.6562,117.55626,7/3/20
-8.7209,118.21815,7/3/20
1.49098,127.63605,7/3/20
