latitude,longitude,acq_date
-13.7252,-70.23795,7/1/20
-13.72877,-70.23734,7/1/20
-13.72131,-70.23754,7/1/20
-13.72617,-70.23348,7/1/20
-12.52443,-74.18486,7/1/20
-13.65266,-72.81393,7/1/20
-12.11453,-76.70727,7/1/20
-6.62212,-77.98536,7/1/20
-6.04995,-78.49656,7/1/20
-4.51392,-81.22934,7/1/20
-13.65779,-72.81388,7/1/20
-12.47066,-72.09279,7/1/20
-12.65924,-74.41346,7/1/20
-12.69917,-71.9705,7/1/20
-12.6986,-71.97517,7/1/20
-10.29283,-75.99634,7/1/20
-13.32798,-71.36196,7/1/20
-12.34649,-74.35149,7/1/20
-11.59956,-74.40525,7/1/20
-11.13888,-75.69444,7/1/20
-13.72378,-70.23625,7/1/20
-12.59404,-74.04651,7/1/20
-12.59199,-74.06277,7/1/20
-12.59327,-74.04959,7/1/20
-12.59113,-74.06545,7/1/20
-12.69353,-71.97292,7/1/20
-12.52371,-74.19028,7/1/20
-8.53577,-76.73009,7/1/20
-14.04481,-71.98679,7/1/20
-12.69887,-71.97301,7/1/20
-12.52004,-74.18327,7/1/20
-11.80559,-75.6437,7/1/20
-7.40955,-79.55527,7/1/20
-13.3334,-71.36357,7/1/20
-12.69384,-71.97036,7/1/20
-12.46581,-72.08925,7/1/20
-13.73043,-70.23092,7/1/20
-12.34916,-74.35425,7/1/20
-13.73607,-70.23477,7/1/20
-12.46618,-72.08624,7/1/20
-14.24645,-69.42432,7/1/20
-13.56693,-73.04773,7/1/20
-13.56756,-73.05389,7/1/20
-13.56789,-73.05713,7/1/20
-13.56826,-73.06083,7/1/20
-13.56094,-73.05577,7/1/20
-13.56116,-73.05796,7/1/20
-13.56139,-73.06015,7/1/20
-14.15126,-72.39126,7/1/20
-14.14396,-72.38433,7/1/20
-13.56925,-73.02927,7/1/20
-12.9237,-71.46004,7/1/20
-13.33771,-71.90006,7/1/20
-13.33733,-71.89644,7/1/20
-13.5712,-73.04751,7/1/20
-13.57251,-73.05974,7/1/20
-13.56538,-73.05688,7/1/20
-13.56509,-73.05412,7/1/20
-13.33099,-71.89649,7/1/20
-13.33062,-71.893,7/1/20
-13.33136,-71.90009,7/1/20
-13.33184,-71.90462,7/1/20
-13.33289,-71.89373,7/1/20
-13.33326,-71.89704,7/1/20
-13.33367,-71.90071,7/1/20
-16.17403,-69.8758,7/1/20
-16.17539,-69.8726,7/1/20
-16.17577,-69.87638,7/1/20
-13.32689,-71.89687,7/1/20
-13.32731,-71.90063,7/1/20
-13.51167,-74.02631,7/1/20
-13.56569,-73.05976,7/1/20
-13.56606,-73.06325,7/1/20
-12.52428,-74.17808,7/1/20
-13.11444,-72.72955,7/1/20
-13.11546,-72.72525,7/1/20
-13.11597,-72.72993,7/1/20
-14.14449,-72.38953,7/1/20
-12.90572,-72.43394,7/1/20
-12.89909,-72.43313,7/1/20
-14.15135,-72.38742,7/1/20
-14.15086,-72.38293,7/1/20
-14.14458,-72.38579,7/1/20
-14.14515,-72.39114,7/1/20
-12.52147,-74.18036,7/1/20
-12.89868,-72.42924,7/1/20
-12.89959,-72.43777,7/1/20
-11.63251,-74.44204,7/1/20
-11.39326,-74.24316,7/1/20
-10.66341,-73.98323,7/1/20
-13.97224,-70.11227,7/1/20
-14.11756,-69.57897,7/1/20
-14.24241,-69.59336,7/1/20
-10.60947,-73.94431,7/1/20
-12.00953,-74.45826,7/1/20
-14.24303,-69.59316,7/1/20
-14.17006,-72.06824,7/1/20
-11.93459,-69.19659,7/1/20
-13.5035,-74.01667,7/1/20
-13.65236,-70.55795,7/1/20
-15.78742,-71.8576,7/1/20
-13.65263,-70.56038,7/1/20
-12.57539,-73.75119,7/1/20
-12.57631,-73.75179,7/1/20
-13.50416,-74.02319,7/1/20
-13.63435,-72.41413,7/1/20
-13.63466,-72.41709,7/1/20
-13.62728,-72.40942,7/1/20
-13.627,-72.40985,7/1/20
-10.76668,-74.33107,7/1/20
-13.62064,-72.41176,7/1/20
-10.76434,-74.33085,7/1/20
-13.55477,-72.59907,7/1/20
-14.15073,-72.38605,7/1/20
-13.11391,-72.72439,7/1/20
-14.31338,-69.38564,7/1/20
-14.15029,-72.38168,7/1/20
-14.24621,-69.4222,7/1/20
-7.26816,-76.97972,7/1/20
-11.62981,-74.44286,7/1/20
-13.81753,-73.3468,7/1/20
-11.40907,-74.41608,7/1/20
-7.11703,-76.4651,7/1/20
-13.50586,-74.0209,7/1/20
-13.50798,-74.03143,7/1/20
-13.51385,-74.02956,7/1/20
-13.51316,-74.0261,7/1/20
-10.02192,-75.70142,7/1/20
-6.58377,-79.87999,7/1/20
-10.69444,-76.01687,7/1/20
-6.2306,-76.82011,7/1/20
-9.23898,-76.18864,7/1/20
-9.03117,-76.16727,7/1/20
-6.7594,-79.55049,7/1/20
-12.92629,-73.57648,7/1/20
-7.189,-76.49902,7/1/20
-7.18971,-76.50301,7/1/20
-5.8806,-77.14372,7/1/20
-14.14845,-72.37307,7/1/20
-14.15056,-72.38278,7/1/20
-14.15224,-72.3905,7/1/20
-14.14489,-72.38812,7/1/20
-14.1493,-72.36922,7/1/20
-14.15139,-72.37915,7/1/20
-14.15329,-72.38821,7/1/20
-9.68613,-76.11662,7/1/20
-14.14595,-72.38577,7/1/20
-14.14731,-72.3922,7/1/20
-8.8832,-76.21452,7/1/20
-8.87911,-76.21449,7/1/20
-12.44688,-74.61513,7/1/20
-9.85234,-76.11825,7/1/20
