province,carbon,lat,lng
Asmat,1277.54,,
Biak Numfor,123.62,135.746,-1.013
Boven Digoel,1381.71,140.345979,-6.159684
Deiyai,99.18,,
Dogiyai,280.65,,
Intan Jaya,305.79,,
Jayapura,932.77,,
Jayawijaya,123.56,138.880663,-4.19673
Keerom,632.6,140.65798,-3.327013
Kepulauan Yapen,148.09,136.031682,-1.719808
Kota Jayapura,39.99,140.218,-3.037
Lanny Jaya,186.09,138.210688,-3.994046
Mamberamo Raya,1614.31,,
Mamberamo Tengah,184.9,139.034692,-3.624574
Mappi,1019.62,139.316351,-6.254586
Merauke,1376.24,139.334546,-7.880153
Mimika,1010.2,136.281773,-4.614628
Nabire,767.11,135.495245,-3.429799
Nduga,440.81,,
Paniai,258.69,,
Pegunungan Bintang,968.89,,
Puncak,469.44,,
Puncak Jaya,262.36,,
Sarmi,882.46,,
Supiori,39.31,,
Tolikara,221.92,138.402632,-3.487094
Waropen,696.96,,
Yahukimo,880.62,,
Yalimo,247.19,,
Fakfak,664.04,,
Kaimana,1014.92,,
Kota Sorong,16.07,,
Manokwari,772.32,,
Maybrat,210.19,,
Raja Ampat,457.71,,
Sorong,471.16,,
Sorong Selatan,287.61,,
Tambrauw,425.29,,
Teluk Bintuni,1181.98,,
Teluk Wondama,430.42,,
