Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aceh,18278,10953,11816,19137,26480,21285,24168,36734,69111,40757,47486,49396,41391,58554,33968,50073,45814,46111
Bali,424,313,180,370,237,515,503,230,376,199,217,744,396,908,132,156,263,303
Bangka Belitung,13910,11247,7123,21976,19840,20241,23237,22678,63895,23187,32400,39451,17575,41245,41281,58203,25558,22426
Banten,1054,1761,293,1404,545,1938,1061,930,2755,1632,2328,3287,1830,2275,2664,1970,3495,3400
Bengkulu,14199,10422,8104,25985,13142,23588,17580,22353,18756,16013,24563,27761,14153,20320,20197,24378,27233,24624
Gorontalo,3499,8013,2805,6950,4241,5250,4329,1795,11263,1570,2979,3928,5938,10353,13287,10911,7869,8006
Jakarta Raya,4,0,0,2,1,4,2,2,1,2,3,1,0,0,0,0,1,0
Jambi,46912,45073,21497,97085,71002,119578,118973,124205,125511,36679,48905,152389,66706,77431,60611,157246,86204,69979
Jawa Barat,6798,3850,1979,3658,2326,5244,3055,5116,2886,2632,5421,3754,2566,3758,3502,3656,5646,4509
Jawa Tengah,2676,1898,790,3568,1703,3474,2898,2657,3054,1323,4500,2450,1180,2883,1808,2285,3457,2574
Jawa Timur,4226,4053,2910,6465,2820,5746,4430,3994,4277,1649,5851,8313,2753,6769,2901,3188,4712,4289
Kalimantan Barat,77940,96866,55967,113922,104565,130920,132081,202684,288606,152522,262481,312530,199514,291476,267807,286373,181330,159316
Kalimantan Selatan,18967,24324,18402,41871,25392,54016,29584,18695,60465,26199,48257,66808,35959,66372,73379,65747,37466,37579
Kalimantan Tengah,64076,102875,129123,169838,158552,221891,291717,204627,194377,142341,139335,218882,103285,197214,213841,492975,102894,110369
Kalimantan Timur,73042,81032,53624,107837,90696,152370,152731,144947,263221,137190,223822,316053,179330,270524,231724,352451,168073,184555
Kepulauan Riau,1719,5529,1776,4533,8093,5432,2688,8707,5233,4797,6945,9374,4762,19230,5869,13058,7992,6267
Lampung,10336,9347,4982,10521,9319,14047,15583,16173,23141,14091,16755,30338,5149,11364,14133,16241,11762,10335
Maluku,4540,14596,4307,7366,5605,12417,4456,2935,13424,4396,9380,11375,4669,15223,48979,27623,7334,11187
Maluku Utara,7354,23402,10038,12042,6417,16112,5352,4955,13474,6068,5746,9011,6780,17979,45450,26860,10589,12375
Nusa Tenggara Barat,2882,2675,1719,4554,2035,2485,1993,2735,1953,1145,2326,3118,1540,7148,4435,4028,6195,8144
Nusa Tenggara Timur,4725,4608,3848,4687,5053,6987,5033,4451,5917,1780,7816,4649,2105,9176,7422,7367,10350,5183
Papua,12589,20480,11731,19129,14728,21301,21136,15555,23127,25680,23156,46693,38012,58753,82032,83053,49616,34779
Papua Barat,6078,14750,7248,12226,7085,11049,6648,7890,14431,11693,11549,13560,7905,17905,42461,26815,15891,20510
Riau,156511,154561,57205,270587,355415,202108,211991,204518,247898,341925,255307,346654,156344,282785,90762,147085,123676,101107
Sulawesi Barat,16400,12107,6885,15737,9396,11482,4151,12540,11858,7196,13856,13555,8073,14213,14055,13677,12564,12974
Sulawesi Selatan,8488,12728,5984,17832,8573,13891,9525,8127,23379,8400,14390,16130,9008,21476,28081,30885,24050,19442
Sulawesi Tengah,17547,33169,20131,40160,18073,30634,20348,16733,52427,21979,26195,37171,28515,46763,91931,74262,36947,37525
Sulawesi Tenggara,15947,15851,13418,41601,16419,44384,9984,8699,30091,7631,22948,23041,15484,39717,43540,38445,27134,24213
Sulawesi Utara,4519,7682,2910,6842,3474,4894,4278,1608,6999,2038,3116,2670,1716,6875,15597,8781,5776,7455
Sumatera Barat,15016,15384,9832,26547,29284,32715,31671,34036,40536,22960,42570,36511,22433,30559,22500,39173,51511,37400
Sumatera Selatan,59014,65958,30693,102154,87404,170368,173987,189247,201438,120180,132284,361296,100948,159551,169039,275755,124660,125459
Sumatera Utara,54338,39736,37483,72386,74514,66724,52433,65671,121058,93337,100569,89313,53252,85503,53040,79284,74551,66197
Yogyakarta,83,32,9,70,15,62,20,28,25,142,173,55,27,58,42,66,108,139
