"treecover_loss__year","aboveground_biomass_loss__Mg","treecover_loss__ha","aboveground_co2_emissions__Mg"
2001,1640271.1524964818,4679.042656706932,3007163.7795768837
2002,3584871.2074802937,10622.790551876365,6572263.880380542
2003,2529791.186659972,7486.210877413951,4637950.508876613
2004,4023938.2198408954,11606.094358900227,7377220.069708306
2005,2932689.7653086833,8876.204694025115,5376597.903065918
2006,4654899.313497633,13687.740110448685,8533982.07474565
2007,5010468.472378398,14449.979278178651,9185858.866027074
2008,3465479.8755829995,9967.182257734257,6353379.7719021635
2009,4531655.060235536,13382.729347166114,8308034.277098477
2010,5511099.399580836,16029.82970277873,10103682.23256486
2011,6113270.141293086,17581.74452838939,11207661.925704006
2012,12462012.178695215,35677.91867156747,22847022.327607922
2013,10494321.082101127,30609.16452692541,19239588.650518723
2014,15376227.408037158,44331.3232752312,28189750.24806811
2015,17383531.03246028,50976.85224568237,31869806.892843872
2016,16710181.033578683,51360.95361685792,30635331.894894257
2017,11303639.736485092,33361.91223141279,20723339.51688936
2018,7996386.454465376,23009.528698177426,14660041.833186518
