year,total,plantation,natural
2001,12588.91001,1334.421186,11254.48882
2002,20479.86278,1201.477396,19278.38538
2003,11730.64194,444.0849203,11286.55702
2004,19129.08596,1063.373072,18065.71289
2005,14727.92809,3144.017923,11583.91016
2006,21300.84113,4355.457369,16945.38376
2007,21136.06423,3814.812183,17321.25204
2008,15554.91081,1317.614028,14237.29678
2009,23127.29584,1493.415691,21633.88015
2010,25679.72947,1780.528524,23899.20095
2011,23156.0297,10792.54513,12363.48458
2012,46692.66807,18265.26862,28427.39946
2013,38012.3042,23096.88705,14915.41715
2014,58753.35277,23937.5525,34815.80026
2015,82032.01882,3135.951832,78896.06698
2016,83052.72807,1730.904674,81321.8234
2017,49615.93465,632.9163803,48983.01827
2018,34779.35545,525.9026325,34253.45282
