Province,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Asmat,222,102,89,196,100,256,166,168,308,130,122,302,267,595,640,504,771,759
Biak Numfor,604,509,533,661,1766,1039,945,1238,1329,2528,1868,3010,2185,1984,1075,1659,1330,1127
Boven Digoel,2084,553,203,631,469,464,382,443,570,656,103,226,230,457,936,437,557,404
Deiyai,13,414,383,449,389,844,666,865,918,1902,5041,6139,4001,1765,1530,2775,1935,1567
Dogiyai,88,312,89,137,105,204,198,58,289,964,259,117,80,409,488,273,199,285
Intan Jaya,103,167,273,363,269,363,323,529,393,529,545,348,182,449,437,616,343,400
Jayapura,537,278,180,341,410,252,333,417,364,863,85,124,260,348,833,419,470,324
Jayawijaya,505,942,419,822,459,623,946,1155,1995,1852,1347,2637,585,1193,692,1032,1185,1007
Keerom,352,216,128,142,177,261,263,173,326,374,83,242,384,556,685,680,619,524
Kepulauan Yapen,313,1658,627,930,1608,787,381,863,1084,1129,3073,7041,4374,3799,15754,12856,1565,1036
Kota Jayapura,190,3555,1694,2531,1187,1802,1603,975,3434,815,4052,7329,8178,15271,23554,33586,18886,6340
Lanny Jaya,243,1138,1007,1665,998,1785,1463,1320,2048,1538,1061,1772,3892,4580,4127,3241,2825,2031
Mamberamo Raya,613,1246,1101,1584,546,1081,1027,809,1287,976,991,3696,1841,7580,7233,3374,2668,2655
Mamberamo Tengah,182,132,67,141,119,207,154,154,260,185,146,399,196,753,465,383,421,381
Mappi,482,92,46,109,97,196,89,93,168,84,62,122,102,213,291,275,377,309
Merauke,1637,975,720,885,521,1406,1264,879,1040,1760,565,1608,1548,2742,3359,2740,3222,2391
Mimika,675,247,116,274,145,332,220,233,344,218,153,570,410,703,680,683,1061,885
Nabire,617,135,81,220,151,188,193,196,274,573,146,250,291,548,592,606,683,601
Nduga,108,766,515,1187,873,951,1521,1021,850,1225,401,1378,776,1278,1175,1453,1120,1078
Paniai,57,73,16,25,20,45,68,8,76,99,51,109,22,135,68,48,62,239
Pegunungan Bintang,622,291,184,251,171,248,468,291,451,659,93,404,661,698,882,745,1190,838
Puncak,156,286,185,237,226,342,401,266,515,325,327,1049,252,617,734,452,590,783
Puncak Jaya,158,629,845,862,353,1250,1446,991,1041,1595,660,1530,1067,2110,2108,2118,2221,1594
Sarmi,716,168,125,165,118,318,275,156,308,454,105,421,311,514,962,917,1004,754
Supiori,19,2207,806,2238,1085,926,500,632,1744,1142,1191,1400,676,1574,9543,8196,2286,3807
Tolikara,353,1213,1624,2756,1010,2098,764,902,874,803,1266,1590,659,1775,3208,1524,1527,3342
Waropen,169,263,46,25,81,155,25,69,128,84,37,120,67,192,248,163,71,116
Yahukimo,611,2084,1051,1991,1493,1688,1116,1068,3434,4312,1877,3151,2311,2515,3981,3421,3693,3588
Yalimo,160,774,67,243,250,549,232,260,372,379,185,516,217,862,875,1037,788,807
Fakfak,806,1548,458,452,422,554,288,304,826,307,224,343,191,741,4232,1660,414,387
Kaimana,1027,2031,1065,1012,1115,2331,2050,2602,2431,1888,5015,2580,1993,2746,3273,2813,2200,1192
Kota Sorong,107,1942,582,459,262,448,283,330,631,323,228,647,194,2077,11456,2562,1360,2665
Manokwari,1173,213,34,180,233,364,199,321,2078,305,194,494,304,818,981,601,577,475
Maybrat,112,2291,1181,2244,988,1557,920,924,1580,1487,959,2242,693,3148,3533,3876,2412,3177
Raja Ampat,413,183,334,625,145,381,270,476,332,663,373,478,600,1456,1130,963,562,953
Sorong,764,,,,,,,,,,,,,,,,,
Sorong Selatan,209,,,,,,,,,,,,,,,,,
Tambrauw,102,,,,,,,,,,,,,,,,,
Teluk Bintuni,1107,,,,,,,,,,,,,,,,,
Teluk Wondama,258,,,,,,,,,,,,,,,,,
