year,value
1964,1
1965,0
1966,1
1967,0
1968,0
1969,0
1970,0
1971,8
1972,5
1973,8
1974,8
1976,25
1977,11
1978,42
1979,58
1980,16
1981,19
1982,16
1983,18
1984,62
1985,193
1986,265
1987,360
1988,800
1989,1000
1990,1291
1991,875
1992,800
1993,1420
1994,1667
1995,1206
1996,1350
1997,1300
1998,1332
1999,1351
2000,2028
2001,2020
2002,3105
2003,3570
2004,4319
2005,4975
2006,5139
2007,5223
2008,6118
2009,5760
2010,5711
2011,5841
2012,6589
2013,5573
2014,5696
2015,4689
2016,4881
2017,5320
2018,6795
2019,7200
